Task Text,Category,Difficulty,Deadline (days),Time Taken (hours),Importance
db project (group work) due tmr!!,Project,Easy,1,3.4,High
prep for CHEM midterm - low priority,Exam,Hard,6,5.5,Low
😭 bio exam tmr study !!,Exam,Medium,1,4.0,High
Physics weekly quiz someday,Quiz,Hard,7,1.8,Low
prep for software quiz tonight,Quiz,Easy,1,0.9,High
that BIO quiz eventually lol,Quiz,Hard,6,2.0,Low
ai project research - this week,Project,Hard,5,6.5,Medium
lit exercises ch4 someday,Homework,Hard,7,3.0,Low
write databases report,Project,Medium,4,4.5,Medium
revise for software quiz ASAP,Quiz,Medium,1,1.1,High
do chemm hw,Homework,Medium,3,2.5,Medium
URGENT: revise programming for final tmr help,Exam,Easy,1,2.7,High
review chemm notes for exam,Exam,Easy,4,4.0,Medium
mini test statistics tmr,Quiz,Hard,2,2.3,High
db assignment ch7 scheduled,Homework,Easy,5,1.8,Medium
mini test BIO - low priority,Quiz,Hard,7,1.5,Low
bio hw ch6 - this week,Homework,Hard,3,5.0,Medium
networks final exam study idk when,Exam,Hard,6,5.0,Low
network project draft v1 due tmr!!,Project,Hard,1,6.7,High
